,Unnamed: 0,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
0,0,public,,,,2023-04-30,,ELEC,Public,117709.0,2019-02-07,,E,,Bexco Enterprises,888-998-2546,2023-05-01T00:00:10Z,,GPS,33.979264,-118.105339,Pico Rivera,Charger #640 under repair. Chargers ||available from 6:30AM to 7 PM||,,CA,8700 Rex Rd,90660.0,US,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['465ba1dd-d734-8158-93cc-330000418494'], 'posts': ['465ba1dd-d734-8158-93cc-330000727513', '465ba1dd-d734-8158-93cc-330000727527', '465ba1dd-d734-8158-93cc-330000727528', '465ba1dd-d734-8158-93cc-330000727540']}",
1,1,public,24 hours daily,,,2023-05-01,,ELEC,Public,185373.0,2021-02-25,,E,,"Walmart 2886 (Pico Rivera, CA)",833-632-2778,2023-05-01T00:54:14Z,,GPS,33.98645,-118.10495,Pico Rivera,,,CA,8500 WASHINGTON BLVD,90660.0,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['210019'], 'posts': ['210019-01', '210019-02', '210019-03', '210019-04']}",
2,2,public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,2023-05-01,,ELEC,Public,197430.0,2021-10-07,,E,False,Pico Rivera Towne Center,888-264-2208,2023-05-01T01:44:37Z,,GPS,33.9841305,-118.0999405,Pico Rivera,,,CA,8982 Washington Blvd,90660.0,US,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['426696ba-2bb3-4da7-9425-22ecfc8c9ff5'], 'posts': ['6be45d86-39b6-4b3b-8740-ca77e3f1f947', 'c4862ca9-4240-47e5-8096-29c08c6e9919']}",
3,3,public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,2023-05-01,,ELEC,Public,212402.0,2022-03-25,,E,False,Village Walk Pico Rivera,888-264-2208,2023-05-01T01:46:10Z,,GPS,34.002432,-118.0903275,Pico Rivera,,,CA,8540 Whittier Boulevard,90660.0,US,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,L2,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['dc78ae7f-0e96-4030-81a5-6fa8bff61fe6'], 'posts': ['5e557235-97cd-4bbf-8d71-ed1be9328aae', 'b7bb5181-ef05-4bf4-8a5e-6003305abc67']}",
4,0,public,24 hours daily,,,2023-05-01,,ELEC,Public,176659.0,2021-01-27,,E,,SCPPA SOUTHWEST,888-758-4389,2023-05-01T00:20:32Z,,GPS,34.117961,-117.822526,Glendora,,,CA,1160 Nicole Ct,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL793021'], 'posts': ['12282271', '12282281']}",
5,1,public,24 hours daily,,,2023-05-01,,ELEC,Public,176660.0,2021-01-27,,E,,SCPPA SOUTHEAST,888-758-4389,2023-05-01T00:20:32Z,,GPS,34.117932,-117.822374,Glendora,,,CA,1160 Nicole Ct,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL792991'], 'posts': ['12281851', '12281861']}",
6,2,public,24 hours daily,,,2023-05-01,2023-05-01,ELEC,TEMPORARILY UNAVAILABLE (Public),182624.0,2021-01-27,,T,,SCPPA NORTHWEST2,888-758-4389,2023-05-01T00:13:43Z,,GPS,34.118084,-117.822378,Glendora,,,CA,1172 Nicole Ct,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL199075'], 'posts': ['268859', '268861']}",
7,3,public,24 hours daily,,,2023-05-01,2023-05-01,ELEC,TEMPORARILY UNAVAILABLE (Public),182625.0,2021-01-27,,T,,SCPPA NORTHEAST1,888-758-4389,2023-05-01T00:13:43Z,,GPS,34.11808,-117.822256,Glendora,,,CA,1172 Nicole Ct,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL199077'], 'posts': ['1085501', '1085511']}",
8,4,public,24 hours daily,,,2023-05-01,2023-05-01,ELEC,TEMPORARILY UNAVAILABLE (Public),182626.0,2021-01-27,,T,,SCPPA NORTHEAST2,888-758-4389,2023-05-01T00:13:43Z,,GPS,34.118089,-117.822302,Glendora,,,CA,1172 Nicole Ct,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL199081'], 'posts': ['1085561', '1085571']}",
9,5,public,24 hours daily,,,2023-05-01,2023-04-29,ELEC,TEMPORARILY UNAVAILABLE (Public),182662.0,2021-01-27,,T,,SCPPA NORTHWEST1,888-758-4389,2023-05-01T00:14:14Z,,GPS,34.118092,-117.822426,Glendora,,,CA,1172 Nicole Ct,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL210931'], 'posts': ['285953', '285955']}",
